,Site Number,State,Latitude,Longitude
306,1101,Pennsylvania,41.265556,-75.846389
307,524,Pennsylvania,39.917663,-79.805499
308,1376,Pennsylvania,40.43743,-79.863572
309,801,Pennsylvania,40.535278,-78.370833
310,419,Pennsylvania,41.266263,-77.231189
311,5200,Pennsylvania,40.268963,-80.243995
312,4000,Pennsylvania,41.1175,-78.526194
313,401,Pennsylvania,40.246992,-76.846988
314,8801,South Carolina,34.9127,-80.8745
315,132,South Dakota,43.55764,-103.48386
316,6003,Tennessee,36.526359,-82.528677
317,6004,Tennessee,36.513026,-82.550498
318,1076,Texas,31.168889,-96.481944
319,1079,Texas,32.470228,-94.481595
320,1044,Texas,32.175417,-96.870189
321,1090,Texas,29.162997,-98.589158
322,1081,Texas,31.9041,-96.352
323,1082,Texas,32.277929,-94.570851
324,320,Texas,35.201592,-101.909275
325,1077,Texas,35.3165,-101.7418
326,1073,Texas,35.6762,-101.4401
327,1086,Texas,30.628333,-96.362777
328,1051,Texas,32.031934,-96.399141
329,69,Texas,32.820061,-96.860117
330,1067,Texas,32.92118,-96.75355
331,1039,Texas,29.670025,-95.128508
332,1046,Texas,26.288622,-98.152066
333,47,Texas,29.834167,-95.489167
334,62,Texas,29.625556,-95.267222
335,416,Texas,29.686389,-95.294722
336,1066,Texas,29.7216,-95.49265
337,1052,Texas,29.81453,-95.38769
338,1070,Texas,28.88044,-97.888065
339,1047,Texas,31.088002,-97.679734
340,313,Texas,27.599444,-99.533333
341,1083,Texas,30.153675,-93.725897
342,1069,Texas,29.529432,-98.391403
343,1080,Texas,29.352911,-98.332814
344,1050,Texas,29.583047,-95.015544
345,3011,Texas,32.65637,-97.088598
346,1068,Texas,30.35386,-97.69166
347,58,Texas,29.770698,-95.031232
348,1072,Texas,32.280422,-101.407137
349,314,Texas,27.422433,-97.300869
350,1084,Texas,31.797813,-96.1031
351,1038,Texas,29.1307,-98.1481
352,1053,Texas,32.664753,-97.337917
353,3009,Texas,32.98426,-97.063721
354,1071,Texas,29.8442,-93.9652
355,1075,Texas,30.569534,-97.076294
356,1045,Texas,31.122419,-97.431052
357,1031,Texas,33.436111,-94.07778
358,1078,Texas,33.0752,-94.8474
359,3013,Utah,40.496392,-112.036298
360,130,Utah,37.1983,-113.1506
361,3014,Utah,40.709762,-112.00876
362,3006,Utah,40.736389,-111.872222
363,3010,Utah,40.78422,-111.931
364,5010,Utah,40.136378,-111.657936
365,7011,Utah,40.216779,-110.182742
366,9992,Virginia,37.3232,-80.4572
367,89,Washington,47.2875,-122.2144
368,6000,West Virginia,40.240877,-80.65033
369,8883,West Virginia,39.4452,-79.0691
370,996,Wisconsin,45.6451,-89.41848
371,2601,Wyoming,42.8608,-106.23586
372,800,Wyoming,43.84539,-104.20512
373,300,Wyoming,41.750556,-109.788333
374,200,Wyoming,41.677667,-108.024835
375,892,Wyoming,44.097074,-105.343164
376,700,Wyoming,42.486361,-110.098861
377,123,Wyoming,44.6522,-105.2903
